temp_1,temp_2,temp_3,temp_4,temp_5,action_1,action_2,action_3,action_4,action_5,phase,reward,timestep
196.2465577470132,226.51393406579945,183.27766499606872,226.4804723365115,235.233882655205,1,1,2,1,1,warmup,,119
197.28948745066933,226.46130640684086,182.57407063330635,227.03177793781722,236.24951509953138,1,0,0,2,1,warmup,,120
198.33167779321107,226.0182338801664,181.7906883186614,227.80192148203795,237.26454671248814,1,0,2,1,1,warmup,,121
199.37304869522066,225.19905429672147,181.37592649978384,228.59877344228542,238.27902200334546,1,0,0,3,1,warmup,,122
200.4135284364603,223.9916159306134,181.3086158810953,229.04877115234018,239.29294650875082,1,0,1,1,1,warmup,,123
201.45303657280542,222.77201486918116,181.8886623049567,229.1802685308158,240.30625121035965,1,0,1,0,1,warmup,,124
202.49157341935066,221.52202977833574,182.8563678268405,228.6897123243516,241.31887317371257,1,0,1,0,1,warmup,,125
203.5291344330091,220.51051215149238,184.18332518298186,227.8180728963638,242.33068732813524,1,0,1,0,1,warmup,,126
204.5657662438338,219.39959421181553,185.71233072054355,226.4944561638413,243.34161924691955,1,0,1,0,1,warmup,,127
205.60144902231988,218.29019042913387,187.14671220281303,225.1512718541392,244.30067399964508,1,0,1,0,1,warmup,,128
206.63618628177016,217.1822787884269,188.36497854770136,223.86754957970751,245.4013235063557,1,0,1,0,1,warmup,,129
207.66997832699423,216.07581487599492,189.44096576880375,222.66372694367777,246.3794069551971,1,0,1,0,1,warmup,,130
208.70282396187886,214.9707697129,190.43388901123237,221.4466104823797,247.50185910563317,1,0,2,0,1,warmup,,131
209.73472688564934,213.86712282953113,191.13113179552863,220.19602696171177,248.34841121216047,1,0,1,0,1,warmup,,132
210.76568607131512,212.76481619766696,191.7884033495532,219.1871286043719,249.0574663481313,1,0,2,0,2,warmup,,133
211.79570218461083,211.66383793075767,192.27826670949645,218.29271880743445,249.60841258143083,1,0,1,3,1,warmup,,134
212.77387242928333,210.5641561569099,192.85223542814944,217.6758544224537,249.97658191631464,1,0,2,0,0,warmup,,135
213.89367415358035,209.46577309856835,193.39017527730118,217.10508532399615,249.9068097334545,1,0,1,3,1,warmup,,136
214.93241027417412,208.36871089858013,194.10409564443017,216.72712823798832,249.60736873845644,1,0,2,0,0,warmup,,137
215.99935657632847,207.27298646028174,194.63318271104922,216.0965916130688,249.00007658451526,1,0,1,2,0,warmup,,138
216.81421897131298,206.17856718460658,195.39573431360668,215.41045695371136,248.35369797686107,1,0,3,0,0,warmup,,139
217.58402229031455,205.08544860489766,195.9637846234173,214.6094550849297,247.53774577868145,2,0,1,2,3,warmup,,140
218.3012384669801,203.9935810008938,196.70404243980238,214.2119628998107,247.0149847299586,1,0,2,0,0,warmup,,141
218.86380222819386,202.90298760923656,197.16575524956156,213.9217004598138,246.33485917862097,2,0,1,1,3,warmup,,142
219.15976195562646,201.81358125397315,197.97523340798946,214.16579773589925,245.84447695937502,1,0,2,2,0,warmup,,143
219.16750495894453,200.72537584437003,198.54621564574683,214.52160706020157,245.26846233765994,0,0,1,1,2,warmup,,144
218.67447621354273,199.63826563244106,199.2334856663757,215.2532979850414,244.83893557098304,0,0,3,2,0,warmup,,145
217.9164560391464,198.5521727779504,199.6315845769015,215.82475640836103,244.72599753788302,0,0,1,1,1,warmup,,146
216.77290025020756,197.46698561001426,200.09598450280035,216.5909856866487,245.13179927758628,0,0,0,3,1,warmup,,147
215.81781713006524,196.38263904009352,200.30856621379922,217.33456869726942,245.85573675744544,0,0,1,1,1,warmup,,148
214.92844964439323,195.2991199367591,200.73314559490905,218.2079658663061,246.95700695228143,3,0,2,3,1,warmup,,149
214.4456500842591,194.21648306049602,201.11079834119423,218.71302951544124,248.0754040013127,0,0,1,1,1,warmup,,150
214.02451801731956,193.1347994510362,201.6966542789141,218.87085852643318,249.19587757182052,3,0,3,0,1,warmup,,151
213.6474989965696,192.05412245626755,202.34442681720338,218.38143700717873,250.10783222688207,0,0,1,0,1,warmup,,152
213.18450217626886,190.97447218036754,203.19987922887003,217.50436829669968,251.11143298240543,2,0,3,0,1,warmup,,153
212.54008936512878,189.89587196578174,203.93999897862997,216.20690574668944,252.11415623881956,0,0,1,0,1,warmup,,154
211.7081422549979,188.81826174785752,204.98636126486505,214.87838022893632,253.1159168329365,0,0,1,0,1,warmup,,155
